Msg Name,Msg Type,Msg ID,Send Type,Cycle (ms),Len (B),Signal Name,Signal Description (English),Byte Order,Start Byte,Start Bit,Bit Len,Data Type,Res,Offset,Min,Max,Init (Hex),Unit,Signal Value Description
,,,,,,SES_AngleSensor_S_O/C_Err,Angle Sensor Sec. Open Circuit L3,Motorola LSB,1,10,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_AngleSensor_S_AF_Err,Angle Sensor Sec. Out of Range L3,Motorola LSB,1,11,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_SensorPow_Err,Sensor Power Fault L2,Motorola LSB,1,12,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_Alignment_Err,Centering Fault L1,Motorola LSB,1,13,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_OverAngle_Err,Over Angle Fault L2,Motorola LSB,1,14,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_StrMtr_Stall_Err,Motor Stall Fault L1,Motorola LSB,1,15,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_MtrCurt_Err,Motor Current Fault L2,Motorola LSB,2,16,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_Sensor'sCL__Err,Sensor 5V Power 1/2 Fault L2,Motorola LSB,2,17,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_TorqSensor_T1_O/C_Err,Torque Sensor T1 Open Circuit L3,Motorola LSB,2,18,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_TorqSensor_T2_O/C_Err,Torque Sensor T1 Out of Range L3,Motorola LSB,2,19,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_TorqSensor_T1_AF_Err,Torque Sensor T2 Open Circuit L3,Motorola LSB,2,20,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_TorqSensor_T2_AF_Err,Torque Sensor T2 Out of Range L3,Motorola LSB,2,21,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SentAngle_Err,Angle Error L1,Motorola LSB,2,22,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_StrMtr_Idling_Err,Motor Idling Fault L2,Motorola LSB,2,23,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_EPROM_Err,EEPROM Fault L2,Motorola LSB,3,24,1,Unsigned,1,0,0,1,0x0,-,0x0: False0x1: True
,,,,,,SES_Veh_Spd_Value,Vehicle Speed Signal,Motorola LSB,7,56,8,Unsigned,1,0,0,1,0x0,-,
SES_Version,Normal,"Rx(Custom, Def:0x203)",Cycle,1000,8,SES_SW_Version,SES Software Version,Motorola LSB,0,0,8,Unsigned,0.01,0,0,255,0x64,-,"e.g., V1.0 Feedback"
,,,,,,SES_HW_Version,SES Hardware Version,Motorola LSB,1,8,8,Unsigned,0.1,0,0,25.5,0xD,-,"e.g., V1.0 Feedback"
SES_Test,Normal,6FA,Cycle,10,8,SES_MtrCurt,Motor current,Motorola LSB,1,0,16,Signed,0.0078125,0,0,60,0x00,,
,,,,,,SES_ECUTemp,ECU temperature,Motorola LSB,3,0,16,Unsigned,0.5,0,0,255,0x00,,
,,,,,,SES_PowVolt,Supply voltage,Motorola LSB,5,0,16,Unsigned,0.00390625,0,0,18,0x00,,
